-1	0	1	GD_00053	NA's	tot_avail
GD_01298	209	115	1	111	209	325
GD_01299	216	207	1	12	216	424
GD_01304	219	207	1	9	219	427
GD_01305	332	102	1	1	332	435
GD_01316	113	209	111	1	2	433
GD_01319	227	120	1	88	227	348
GD_01322	226	208	1	1	226	435
GD_01328	285	142	1	8	285	428
GD_01329	246	1	189	246	1	436
GD_01334	181	210	1	44	181	392
GD_01349	171	216	1	48	171	388
GD_01357	116	318	1	1	116	435
GD_01361	290	143	1	2	290	434
GD_01366	36	257	142	1	36	435
GD_01391	310	125	1	310	125	436
GD_01392	219	1	216	219	1	436
GD_01401	302	124	1	9	302	427
GD_01420	212	145	1	78	212	358
GD_01426	175	237	1	23	175	413
GD_01438	207	220	1	8	207	428
GD_01444	224	197	1	14	224	422
GD_01476	201	232	1	2	201	434
GD_01478	198	215	1	22	198	414
GD_01479	122	225	86	1	2	433
GD_01484	182	219	1	34	182	402
GD_01487	350	85	1	350	85	436
GD_01488	249	186	1	249	186	436
GD_01493	179	227	1	29	179	407
GD_01500	199	232	4	1	199	435
GD_01501	316	119	1	316	119	436
GD_01502	196	224	1	15	196	421
GD_01507	212	223	1	212	223	436
GD_01516	83	224	127	1	1	434
GD_01524	369	66	1	369	66	436
GD_01525	273	140	1	22	273	414
GD_01531	231	186	1	18	231	418
GD_01539	221	1	214	221	1	436
GD_01542	230	107	1	98	230	338
GD_01548	116	319	1	116	319	436
GD_01552	163	263	1	9	163	427
GD_01555	173	248	1	14	173	422
GD_01556	207	183	1	45	207	391
GD_01558	266	169	1	266	169	436
GD_01565	218	143	1	74	218	362
GD_01566	227	1	208	227	1	436
GD_01570	149	263	23	1	149	435
GD_01573	2	231	202	1	2	435
GD_01575	219	192	1	24	219	412
GD_01576	207	100	1	128	207	308
GD_01579	178	250	1	7	178	429
GD_01584	43	392	1	43	392	436
GD_01587	193	198	1	44	193	392
GD_01588	85	266	1	84	85	352
GD_01601	263	114	1	58	263	378
GD_01604	75	310	50	1	75	435
GD_01612	142	233	1	60	142	376
GD_01614	224	208	1	3	224	433
GD_01615	212	106	1	117	212	319
GD_01616	142	1	293	142	1	436
GD_01624	126	267	1	42	126	394
GD_01627	295	139	1	1	295	435
GD_01632	265	167	1	3	265	433
GD_01639	163	222	1	50	163	386
GD_01641	173	224	1	38	173	398
GD_01642	179	239	1	17	179	419
GD_01648	156	269	1	10	156	426
GD_01650	3	124	305	1	3	432
GD_01651	237	182	1	16	237	420
GD_01682	219	122	1	94	219	342
GD_01693	194	205	1	36	194	400
GD_01694	177	248	1	10	177	426
GD_01697	229	1	206	229	1	436
GD_01703	207	132	1	96	207	340
GD_01704	4	321	110	1	4	435
GD_01705	194	221	1	20	194	416
GD_01706	230	109	1	96	230	340
GD_01713	113	245	77	1	113	435
GD_01715	178	221	1	36	178	400
GD_01717	39	258	138	1	39	435
GD_01734	103	267	65	1	103	435
GD_01742	223	142	1	70	223	366
GD_01747	149	220	1	66	149	370
GD_01755	111	324	1	111	324	436
GD_01761	194	238	1	3	194	433
GD_01764	222	165	1	48	222	388
GD_01767	94	243	98	1	94	435
GD_01768	84	225	126	1	84	435
GD_01769	51	384	1	51	384	436
GD_01773	127	300	1	8	127	428
GD_01776	87	348	1	87	348	436
GD_01777	375	60	1	375	60	436
GD_01778	241	144	1	50	241	386
GD_01780	188	244	3	1	188	435
GD_01781	134	234	67	1	134	435
GD_01783	193	134	1	108	193	328
GD_01786	351	84	1	351	84	436
GD_01793	130	223	1	82	130	354
GD_01797	241	173	1	21	241	415
GD_01798	173	248	1	14	173	422
GD_01800	30	273	131	1	1	434
GD_01805	225	191	19	1	225	435
GD_01810	303	73	1	59	303	377
GD_01811	258	157	1	20	258	416
GD_01813	224	194	1	17	224	419
GD_01814	144	219	1	72	144	364
GD_01815	145	279	1	11	145	425
GD_01822	163	232	40	1	163	435
GD_01831	224	191	1	20	224	416
GD_01832	204	1	231	204	1	436
GD_01844	308	127	1	308	127	436
GD_01846	160	274	1	1	160	435
GD_01850	233	185	1	17	233	419
GD_01853	241	123	1	71	241	365
GD_01855	395	40	1	395	40	436
GD_01866	167	214	1	54	167	382
GD_01867	252	166	1	17	252	419
GD_01872	120	232	1	83	120	353
GD_01874	229	1	206	229	1	436
GD_01878	62	223	150	1	62	435
GD_01882	103	332	1	103	332	436
GD_01885	202	155	1	78	202	358
GD_01886	286	139	1	10	286	426
GD_01888	1	273	161	1	1	435
GD_01889	287	148	1	287	148	436
GD_01896	67	233	134	1	1	434
GD_01899	87	348	1	87	348	436
GD_01902	239	124	1	72	239	364
GD_01905	164	258	1	13	164	423
GD_01907	257	162	1	16	257	420
GD_01908	151	261	1	23	151	413
GD_01909	103	215	116	1	1	434
GD_01935	24	141	270	1	24	435
GD_01942	184	205	1	46	184	390
GD_01954	194	219	1	22	194	414
GD_01956	26	234	175	1	26	435
GD_01957	187	233	1	15	187	421
GD_01961	205	217	1	13	205	423
GD_01964	177	202	1	56	177	380
GD_01965	212	177	1	46	212	390
GD_01969	206	159	1	70	206	366
GD_01974	225	144	1	66	225	370
GD_01987	41	394	1	41	394	436
GD_02003	154	281	1	154	281	436
GD_02008	228	189	1	18	228	418
GD_02009	217	1	218	217	1	436
GD_02018	298	136	1	1	298	435
GD_02020	156	206	1	73	156	363
GD_02021	258	169	1	8	258	428
GD_02030	111	242	1	82	111	354
GD_02031	127	305	3	1	127	435
GD_02039	254	169	1	12	254	424
GD_02046	167	246	22	1	167	435
GD_02051	227	1	208	227	1	436
GD_02053	188	193	1	54	188	382
GD_02059	124	213	1	98	124	338
GD_02063	37	305	93	1	37	435
GD_02076	40	303	92	1	40	435
GD_02079	135	274	1	26	135	410
GD_02080	234	188	1	13	234	423
GD_02087	121	279	1	35	121	401
GD_02092	200	191	43	1	1	434
GD_02100	187	240	1	8	187	428
GD_02115	248	169	1	18	248	418
GD_02124	205	154	1	76	205	360
GD_02130	217	1	218	217	1	436
GD_02134	2	181	252	1	2	435
GD_02138	178	223	1	34	178	402
GD_02143	126	217	92	1	126	435
GD_02155	271	140	1	24	271	412
GD_02165	193	143	1	99	193	337
GD_02169	201	210	1	24	201	412
GD_02172	146	224	1	65	146	371
GD_02183	207	214	1	14	207	422
GD_02207	261	126	1	48	261	388
GD_02219	188	232	1	15	188	421
GD_02223	120	302	1	13	120	423
GD_02228	229	1	206	229	1	436
GD_02230	91	255	89	1	91	435
GD_02258	224	189	1	22	224	414
GD_02275	27	289	119	1	27	435
GD_02277	98	337	1	98	337	436
GD_02291	189	200	1	46	189	390
GD_02293	332	103	1	332	103	436
GD_02300	236	1	199	236	1	436
GD_02302	133	196	1	106	133	330
GD_02313	145	219	1	71	145	365
GD_02333	84	349	1	2	84	434
GD_02334	179	246	1	10	179	426
GD_02363	144	213	1	78	144	358
GD_02371	62	232	141	1	62	435
GD_02376	351	84	1	351	84	436
GD_02426	147	247	1	41	147	395
GD_02428	290	145	1	290	145	436
GD_02437	67	262	106	1	67	435
GD_02451	271	155	1	9	271	427
GD_02452	261	146	28	1	261	435
GD_02457	224	155	1	56	224	380
GD_02463	240	180	1	15	240	421
GD_02465	179	238	1	18	179	418
GD_02482	123	214	1	98	123	338
GD_02512	43	391	1	1	43	435
GD_02518	2	223	209	1	1	434
GD_02535	230	182	1	23	230	413
GD_02538	82	230	123	1	82	435
GD_02546	177	244	1	14	177	422
GD_02572	224	182	1	29	224	407
GD_02575	96	337	1	2	96	434
GD_02576	338	97	1	338	97	436
GD_02580	281	144	1	10	281	426
GD_02592	191	228	1	16	191	420
GD_02600	234	187	1	14	234	422
GD_02619	47	246	141	1	1	434
GD_02626	297	138	1	297	138	436
GD_02638	143	212	1	80	143	356
GD_02644	313	121	1	1	313	435
GD_02657	331	103	1	1	331	435
GD_02673	227	101	1	107	227	329
GD_02674	205	186	1	44	205	392
GD_02678	214	220	1	1	214	435
GD_02685	53	260	114	1	8	427
GD_02689	306	127	1	2	306	434
GD_02729	224	1	211	224	1	436
GD_02731	192	155	1	88	192	348
GD_02763	36	261	138	1	36	435
GD_02779	387	48	1	387	48	436
GD_02783	128	263	1	44	128	392
GD_02804	348	87	1	348	87	436
GD_02809	227	188	1	20	227	416
GD_02814	166	269	1	166	269	436
GD_02819	255	171	1	9	255	427
GD_02840	159	192	82	1	2	433
GD_02848	37	395	1	3	37	433
GD_02853	246	165	1	24	246	412
GD_02859	238	182	1	15	238	421
GD_02875	37	398	1	37	398	436
GD_02890	92	236	1	107	92	329
GD_10007	210	188	37	1	210	435
GD_10010	62	222	150	1	1	434
RB_2593090_	102	295	38	1	102	435
RB_3334689_	182	183	1	70	182	366
RB_39662008	347	85	1	3	347	433
RB_3942532_	90	343	1	2	90	434
RB_49031915	180	182	1	73	180	363
RB_2745724_	40	395	1	40	395	436
RB_27113611	405	30	1	405	30	436
RB_31135974	339	96	1	339	96	436
RB_14945861	107	317	1	11	107	425
RB_2419416_	211	222	2	1	211	435
RB_30595771	325	94	1	16	325	420
RB_3297840_	232	171	1	32	232	404
RB_3303558_	232	166	1	37	232	399
RB_7275449_	326	109	1	326	109	436
RB_14005103	73	321	41	1	73	435
RB_15738487	146	244	1	45	146	391
RB_23405001	141	209	1	85	141	351
RB_3193686_	4	201	230	1	4	435
RB_10296435	138	281	1	16	138	420
RB_1065683_	158	267	1	10	158	426
RB_10935478	100	328	1	7	100	429
RB_11050637	185	211	1	39	185	397
RB_11070621	243	147	1	45	243	391
RB_11489706	40	395	1	40	395	436
RB_1193551_	236	152	1	47	236	389
RB_11992593	184	249	1	2	184	434
RB_11996518	68	367	1	68	367	436
RB_12016362	226	179	1	30	226	406
RB_12048247	183	252	1	183	252	436
RB_12296545	91	311	33	1	91	435
RB_12582508	103	332	1	103	332	436
RB_12845175	43	344	48	1	43	435
RB_12931783	234	162	1	39	234	397
RB_13312189	90	337	1	8	90	428
RB_14008824	183	252	1	183	252	436
RB_14354679	42	393	1	42	393	436
RB_1452699_	80	269	1	86	80	350
RB_14645161	213	202	1	20	213	416
RB_14674789	86	332	1	17	86	419
RB_14684226	69	366	1	69	366	436
RB_15006641	287	147	1	1	287	435
RB_15527276	371	1	64	371	1	436
RB_16467823	3	182	246	1	4	431
RB_16718103	97	324	1	14	97	422
RB_16948009	33	353	49	1	33	435
RB_17882923	165	253	1	17	165	419
RB_17894779	217	118	1	100	217	336
RB_18500686	210	142	1	83	210	353
RB_18695269	230	205	1	230	205	436
RB_19520932	240	1	195	240	1	436
RB_19805064	46	64	1	325	46	111
RB_20010409	96	316	1	23	96	413
RB_2034824_	132	288	1	15	132	421
RB_20353369	44	66	1	325	44	111
RB_20564976	40	394	1	1	40	435
RB_21088744	367	1	68	367	1	436
RB_21367438	196	221	1	18	196	418
RB_21581037	4	297	133	1	1	434
RB_22410872	71	364	1	71	364	436
RB_23421514	208	144	1	83	208	353
RB_23867559	115	212	1	108	115	328
RB_24054772	78	357	1	78	357	436
RB_24586716	43	392	1	43	392	436
RB_25194017	95	339	1	1	95	435
RB_25674246	34	312	81	1	8	427
RB_26215685	127	223	84	1	1	434
RB_26616826	361	1	74	361	1	436
RB_26970454	119	315	1	1	119	435
RB_27306234	33	357	45	1	33	435
RB_27608850	229	186	1	20	229	416
RB_27610478	71	364	1	71	364	436
RB_27798613	208	227	1	208	227	436
RB_2852846_	380	1	55	380	1	436
RB_28752026	379	1	56	379	1	436
RB_29031109	100	324	1	11	100	425
RB_29824342	235	163	1	37	235	399
RB_30246914	32	300	103	1	32	435
RB_3025133_	376	1	59	376	1	436
RB_30590177	89	340	1	6	89	430
RB_31057207	86	334	1	15	86	421
RB_31320811	93	325	1	17	93	419
RB_31638697	179	232	1	24	179	412
RB_32329275	214	124	1	97	214	339
RB_32854243	62	373	1	62	373	436
RB_33144152	203	232	1	203	232	436
RB_33262034	215	204	1	16	215	420
RB_33501094	4	391	40	1	4	435
RB_34225113	75	346	1	14	75	422
RB_3446082_	198	192	1	45	198	391
RB_34809522	65	368	1	2	65	434
RB_3536720_	204	208	1	23	204	413
RB_3543417_	224	209	1	2	224	434
RB_36853428	302	132	1	1	302	435
RB_37999186	175	245	1	15	175	421
RB_3832821_	197	238	1	197	238	436
RB_39870632	177	258	1	177	258	436
RB_4061886_	205	206	1	24	205	412
RB_4171437_	43	392	1	43	392	436
RB_46715163	204	179	1	52	204	384
RB_4782545_	202	166	1	67	202	369
RB_4873695_	201	209	1	25	201	411
RB_50088799	180	185	1	70	180	366
RB_5054497_	213	195	1	27	213	409
RB_5173582_	210	199	1	26	210	410
RB_5662695_	213	177	1	45	213	391
RB_5920541_	41	394	1	41	394	436
RB_606585_L	225	130	1	80	225	356
RB_6171256_	183	251	1	1	183	435
RB_6306433_	49	386	1	49	386	436
RB_6451261_	49	386	1	49	386	436
RB_6496114_	245	188	1	2	245	434
RB_6543192_	81	354	1	81	354	436
RB_6548475_	51	356	28	1	51	435
RB_6615652_	148	260	27	1	148	435
RB_6637447_	49	355	31	1	49	435
RB_693011_L	115	319	1	1	115	435
RB_7144285_	109	326	1	109	326	436
RB_7189032_	208	209	1	18	208	418
RB_8295164_	196	198	1	41	196	395
RB_8789324_	380	1	55	380	1	436
RB_10009408	50	330	55	1	50	435
RB_1035920_	215	170	1	50	215	386
RB_10385387	55	67	1	313	55	123
RB_10654569	202	187	1	46	202	390
RB_10765940	224	1	211	224	1	436
RB_10948075	68	367	1	68	367	436
RB_11074629	221	145	1	69	221	367
RB_1122860_	153	282	1	153	282	436
RB_1131825_	189	199	1	47	189	389
RB_11409481	208	204	1	23	208	413
RB_11445563	219	146	1	70	219	366
RB_11508677	240	184	1	11	240	425
RB_11718356	183	213	1	39	183	397
RB_11731639	213	165	1	57	213	379
RB_11777704	184	227	1	24	184	412
RB_11806852	184	227	1	24	184	412
RB_1205264_	60	375	1	60	375	436
RB_12099465	121	314	1	121	314	436
RB_12142492	78	350	1	7	78	429
RB_12328377	183	206	1	46	183	390
RB_1270220_	226	174	1	35	226	401
RB_1276715_	232	148	1	55	232	381
RB_1287577_	48	387	1	48	387	436
RB_12880004	209	225	1	1	209	435
RB_13033111	199	195	1	41	199	395
RB_13071892	200	216	1	19	200	417
RB_1318292_	44	388	1	3	44	433
RB_13655380	109	320	1	6	109	430
RB_13669196	74	361	1	74	361	436
RB_13706234	89	330	1	16	89	420
RB_14529153	196	238	1	1	196	435
RB_14559093	89	340	1	6	89	430
RB_14573434	195	218	1	22	195	414
RB_14599407	124	310	1	1	124	435
RB_14712598	140	271	1	24	140	412
RB_14726709	207	171	1	57	207	379
RB_1502793_	49	385	1	1	49	435
RB_1516126_	40	395	1	40	395	436
RB_15369623	4	379	52	1	4	435
RB_1538074_	114	276	1	45	114	391
RB_15491385	234	173	1	28	234	408
RB_15693091	183	229	1	23	183	413
RB_15755494	202	194	1	39	202	397
RB_16067316	190	244	1	1	190	435
RB_1617869_	351	1	84	351	1	436
RB_1621844_	188	246	1	1	188	435
RB_1622557_	245	166	1	24	245	412
RB_1632544_	166	243	1	26	166	410
RB_16343119	188	200	1	47	188	389
RB_16440305	218	128	1	89	218	347
RB_16552411	53	382	1	53	382	436
RB_16680919	254	178	1	3	254	433
RB_16704372	3	291	46	1	95	340
RB_16726719	92	343	1	92	343	436
RB_16803165	228	207	1	228	207	436
RB_1697921_	196	205	1	34	196	402
RB_16988161	160	275	1	160	275	436
RB_16997826	72	363	1	72	363	436
RB_17179555	185	250	1	185	250	436
RB_17233926	165	230	1	40	165	396
RB_17236158	142	257	1	36	142	400
RB_18043587	185	250	1	185	250	436
RB_18067488	165	253	1	17	165	419
RB_18181838	107	328	1	107	328	436
RB_18226904	214	221	1	214	221	436
RB_18475950	74	361	1	74	361	436
RB_1869486_	218	217	1	218	217	436
RB_18756586	70	365	1	70	365	436
RB_19062612	187	225	1	23	187	413
RB_1908444_	81	240	113	1	1	434
RB_19239039	242	1	193	242	1	436
RB_19241986	81	338	1	16	81	420
RB_19480551	243	1	192	243	1	436
RB_19497678	230	165	1	40	230	396
RB_19503429	227	161	1	47	227	389
RB_20028330	209	114	1	112	209	324
RB_20224906	126	262	1	47	126	389
RB_20289532	177	232	1	26	177	410
RB_20343075	81	349	1	5	81	431
RB_20371627	124	293	1	18	124	418
RB_20810437	189	225	1	21	189	415
RB_20963489	129	302	1	4	129	432
RB_20984611	176	230	1	29	176	407
RB_21105289	185	112	40	1	98	337
RB_21147726	46	387	1	2	46	434
RB_21248954	221	1	214	221	1	436
RB_21291785	162	271	1	2	162	434
RB_21422131	226	180	1	29	226	407
RB_21456371	43	392	1	43	392	436
RB_21481700	106	328	1	1	106	435
RB_21677670	194	213	1	28	194	408
RB_21759969	233	184	1	18	233	418
RB_2180685_	98	337	1	98	337	436
RB_2183945_	223	180	1	32	223	404
RB_22129590	207	176	1	52	207	384
RB_22201754	241	193	1	1	241	435
RB_2249956_	47	388	1	47	388	436
RB_22521117	366	1	69	366	1	436
RB_22527637	155	1	280	155	1	436
RB_22722118	167	254	1	14	167	422
RB_22723616	191	244	1	191	244	436
RB_22789618	116	318	1	1	116	435
RB_23078001	157	268	1	10	157	426
RB_23308740	209	141	1	85	209	351
RB_23343351	146	279	1	10	146	426
RB_23359599	46	389	1	46	389	436
RB_23373351	71	363	1	1	71	435
RB_23384607	71	360	1	4	71	432
RB_23400893	376	1	59	376	1	436
RB_23422688	370	1	65	370	1	436
RB_23453666	146	216	1	73	146	363
RB_23523902	192	216	1	27	192	409
RB_23563572	371	1	64	371	1	436
RB_23651920	184	208	1	43	184	393
RB_23899578	239	195	1	1	239	435
RB_23962473	84	350	1	1	84	435
RB_24219741	220	185	1	30	220	406
RB_24245886	138	297	1	138	297	436
RB_24294786	111	324	1	111	324	436
RB_2446003_	221	154	1	60	221	376
RB_25120947	221	178	1	36	221	400
RB_25133972	221	177	1	37	221	399
RB_25356570	213	221	1	1	213	435
RB_2538403_	173	262	1	173	262	436
RB_2553338_	39	293	103	1	39	435
RB_25869287	120	315	1	120	315	436
RB_26018605	204	231	1	204	231	436
RB_26207129	225	209	1	1	225	435
RB_26306308	219	199	1	17	219	419
RB_26614519	43	390	1	2	43	434
RB_26729463	113	318	1	4	113	432
RB_26884307	75	360	1	75	360	436
RB_27060614	235	165	1	35	235	401
RB_27079169	259	168	1	8	259	428
RB_27095198	236	165	1	34	236	402
RB_27281402	377	1	58	377	1	436
RB_27286399	250	164	1	21	250	415
RB_27322069	216	189	1	30	216	406
RB_27462705	208	226	1	1	208	435
RB_27680788	118	316	1	1	118	435
RB_27689885	245	177	1	13	245	423
RB_27828226	118	316	1	1	118	435
RB_27841836	118	316	1	1	118	435
RB_27882182	219	196	1	20	219	416
RB_28172464	217	144	1	74	217	362
RB_2823627_	85	336	1	14	85	422
RB_2832830_	235	200	1	235	200	436
RB_28354774	137	287	1	11	137	425
RB_28643044	213	221	1	1	213	435
RB_28848270	223	175	1	37	223	399
RB_28870265	218	217	1	218	217	436
RB_29023351	78	348	1	9	78	427
RB_29040874	230	184	1	21	230	415
RB_29098150	82	347	1	6	82	430
