EV_Eve1_R422	FB_0000011	FB_0000517	FB_0000521	FB_0000529	FB_0000582	FB_0000870	FB_0000880	FB_0000978	FB_0000981	FB_0000984	FB_0000986	FB_0000988	FB_0000989	FB_0000993	FB_0000996	FB_0001462	FB_0001465	FB_0001467	FB_0001468	FB_0001475	FB_0002378	FB_0002632	FB_0002636	FB_0002637	FB_0002639	FB_0002649	FB_0002653	FB_0003079	FB_0003096	FB_0003104	FB_0003106	FB_0003107	FB_0003114	FB_0003118	FB_0003482	FB_0003485	FB_0003489	FB_0003490	FB_0003491	FB_0004014	FB_0004016	FB_0004019	FB_0004037	FB_0004038	FB_0004046	FB_0004993	FB_0005006	FB_0005008	FB_0005457	FB_0005458	FB_0005460	FB_0005956	FB_0005957	FB_0005958	FB_0005963	FB_0005966	FB_0005974	FB_0005980	FB_0007370	FB_0007375	FB_0007388	FB_0007623	FB_0007625	FB_0007631	FB_0007637	FB_0008274	FB_0008287	FB_0008291	FB_0008294	FB_0008612	FB_0008635	FB_0008637	FB_0009203	FB_0009209	FB_0009214	FB_0009218	FB_0009219	FB_0009220	FB_0009237	FB_0009256	FB_0009745	FB_0009751	FB_0009753	FB_0009773	FB_0010446	FB_0010458	FB_0010475	FB_0010610	FB_0010613	FB_0010620	FB_0010622	FB_0010624	FB_0010626	FB_0010630	FB_0011059	FB_0011074	FB_0011075	FB_0011077	(Other)
FxD_17	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493	2773	4457	2816	493
FxD_18	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616	2907	4166	2850	616
FxD_19	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678	2940	3995	2926	678
FxD_2	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744	2819	4248	2728	744
FxD_20	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634	2898	4125	2882	634
FxD_21	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572	3029	4031	2907	572
FxD_22	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614	3039	3932	2954	614
FxD_23	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520	2825	4338	2856	520
FxD_25	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578	2783	4405	2773	578
FxD_26	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696	2777	4285	2781	696
FxD_27	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575	2775	4538	2651	575
FxD_28	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627	2838	4296	2778	627
FxD_29	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549	2815	4420	2755	549
FxD_3	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681	2915	4077	2866	681
FxD_30	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646	2825	4378	2690	646
FxD_31	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388	2826	4544	2781	388
FxD_32	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627	2878	4194	2840	627
FxD_33	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546	2832	4359	2802	546
FxD_34	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504	2983	4106	2946	504
FxD_36	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692	2845	4231	2771	692
FxD_37	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607	2853	4311	2768	607
FxD_38	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756	2858	4156	2769	756
FxD_39	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609	2963	4046	2921	609
FxD_4	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687	2980	3990	2882	687
FxD_40	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570	2842	4297	2830	570
FxD_41	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662	2846	4185	2846	662
FxD_43	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703	2838	4195	2803	703
FxD_44	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576	2782	4527	2654	576
FxD_45	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415	2844	4497	2783	415
FxD_47	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607	2810	4392	2730	607
FxD_48	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669	2884	4178	2808	669
FxD_5	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809	2879	4113	2738	809
FxD_50	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640	2880	4228	2791	640
FxD_51	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577	2793	4403	2766	577
