Index	Name	Name_new
113	GDsnp00311	GD_00311
114	GDsnp00314	GD_00314
115	GDsnp00319	GD_00319
116	GDsnp00321	GD_00321
117	GDsnp00323	GD_00323
118	GDsnp00324	GD_00324
119	GDsnp00330	GD_00330
120	GDsnp00331	GD_00331
121	GDsnp00332	GD_00332
122	GDsnp00337	GD_00337
123	GDsnp00338	GD_00338
124	GDsnp00342	GD_00342
125	GDsnp00347	GD_00347
126	GDsnp00349	GD_00349
127	GDsnp00353	GD_00353
128	GDsnp00354	GD_00354
129	GDsnp00356	GD_00356
130	GDsnp00357	GD_00357
131	GDsnp00358	GD_00358
132	GDsnp00362	GD_00362
133	GDsnp00363	GD_00363
134	GDsnp00368	GD_00368
135	GDsnp00373	GD_00373
136	GDsnp00377	GD_00377
137	GDsnp00388	GD_00388
138	GDsnp00390	GD_00390
139	GDsnp00396	GD_00396
140	GDsnp00397	GD_00397
141	GDsnp00400	GD_00400
142	GDsnp00405	GD_00405
143	GDsnp00418	GD_00418
144	GDsnp00419	GD_00419
145	GDsnp00420	GD_00420
146	GDsnp00423	GD_00423
147	GDsnp00429	GD_00429
148	GDsnp00430	GD_00430
149	GDsnp00441	GD_00441
150	GDsnp00452	GD_00452
151	GDsnp00453	GD_00453
152	GDsnp00463	GD_00463
153	GDsnp00467	GD_00467
154	GDsnp00472	GD_00472
155	GDsnp00487	GD_00487
156	GDsnp00488	GD_00488
157	GDsnp00495	GD_00495
158	GDsnp00501	GD_00501
159	GDsnp00505	GD_00505
160	GDsnp00506	GD_00506
161	GDsnp00508	GD_00508
162	GDsnp00514	GD_00514
163	GDsnp00523	GD_00523
164	GDsnp00525	GD_00525
165	GDsnp00532	GD_00532
166	GDsnp00542	GD_00542
167	GDsnp00543	GD_00543
168	GDsnp00565	GD_00565
169	GDsnp00566	GD_00566
170	GDsnp00583	GD_00583
171	GDsnp00584	GD_00584
172	GDsnp00599	GD_00599
173	GDsnp00604	GD_00604
174	GDsnp00606	GD_00606
175	GDsnp00607	GD_00607
176	GDsnp00614	GD_00614
177	GDsnp00615	GD_00615
178	GDsnp00618	GD_00618
179	GDsnp00619	GD_00619
180	GDsnp00621	GD_00621
181	GDsnp00624	GD_00624
182	GDsnp00626	GD_00626
183	GDsnp00629	GD_00629
184	GDsnp00636	GD_00636
185	GDsnp00639	GD_00639
186	GDsnp00641	GD_00641
187	GDsnp00647	GD_00647
188	GDsnp00658	GD_00658
189	GDsnp00659	GD_00659
190	GDsnp00662	GD_00662
191	GDsnp00663	GD_00663
192	GDsnp00664	GD_00664
193	GDsnp00669	GD_00669
194	GDsnp00674	GD_00674
195	GDsnp00679	GD_00679
196	GDsnp00681	GD_00681
197	GDsnp00682	GD_00682
198	GDsnp00686	GD_00686
199	GDsnp00694	GD_00694
200	GDsnp00699	GD_00699
201	GDsnp00705	GD_00705
202	GDsnp00714	GD_00714
203	GDsnp00717	GD_00717
204	GDsnp00719	GD_00719
205	GDsnp00734	GD_00734
206	GDsnp00735	GD_00735
207	GDsnp00737	GD_00737
208	GDsnp00743	GD_00743
209	GDsnp00762	GD_00762
210	GDsnp00782	GD_00782
211	GDsnp00787	GD_00787
212	GDsnp00796	GD_00796
213	GDsnp00798	GD_00798
214	GDsnp00802	GD_00802
215	GDsnp00809	GD_00809
216	GDsnp00812	GD_00812
217	GDsnp00816	GD_00816
218	GDsnp00833	GD_00833
219	GDsnp00839	GD_00839
220	GDsnp00840	GD_00840
221	GDsnp00842	GD_00842
222	GDsnp00860	GD_00860
223	GDsnp00862	GD_00862
224	GDsnp00864	GD_00864
225	GDsnp00866	GD_00866
226	GDsnp00867	GD_00867
227	GDsnp00869	GD_00869
228	GDsnp00871	GD_00871
229	GDsnp00874	GD_00874
230	GDsnp00875	GD_00875
231	GDsnp00879	GD_00879
232	GDsnp00881	GD_00881
233	GDsnp00890	GD_00890
234	GDsnp00893	GD_00893
235	GDsnp00894	GD_00894
236	GDsnp00902	GD_00902
237	GDsnp00914	GD_00914
238	GDsnp00915	GD_00915
239	GDsnp00918	GD_00918
240	GDsnp00921	GD_00921
241	GDsnp00934	GD_00934
242	GDsnp00943	GD_00943
243	GDsnp00947	GD_00947
244	GDsnp00955	GD_00955
245	GDsnp00958	GD_00958
246	GDsnp00966	GD_00966
247	GDsnp00971	GD_00971
248	GDsnp00975	GD_00975
249	GDsnp00978	GD_00978
250	GDsnp00980	GD_00980
251	GDsnp00991	GD_00991
252	GDsnp01003	GD_01003
253	GDsnp01005	GD_01005
254	GDsnp01009	GD_01009
255	GDsnp01014	GD_01014
256	GDsnp01026	GD_01026
257	GDsnp01044	GD_01044
258	GDsnp01047	GD_01047
259	GDsnp01087	GD_01087
260	GDsnp01095	GD_01095
261	GDsnp01116	GD_01116
262	GDsnp01132	GD_01132
263	GDsnp01133	GD_01133
264	GDsnp01134	GD_01134
265	GDsnp01146	GD_01146
266	GDsnp01148	GD_01148
267	GDsnp01150	GD_01150
268	GDsnp01151	GD_01151
269	GDsnp01162	GD_01162
270	GDsnp01165	GD_01165
271	GDsnp01167	GD_01167
272	GDsnp01172	GD_01172
273	GDsnp01173	GD_01173
274	GDsnp01185	GD_01185
275	GDsnp01186	GD_01186
276	GDsnp01187	GD_01187
277	GDsnp01189	GD_01189
278	GDsnp01200	GD_01200
279	GDsnp01205	GD_01205
280	GDsnp01208	GD_01208
281	GDsnp01213	GD_01213
282	GDsnp01223	GD_01223
283	GDsnp01229	GD_01229
284	GDsnp01236	GD_01236
285	GDsnp01237	GD_01237
286	GDsnp01241	GD_01241
287	GDsnp01244	GD_01244
288	GDsnp01251	GD_01251
289	GDsnp01264	GD_01264
290	GDsnp01267	GD_01267
291	GDsnp01292	GD_01292
292	GDsnp01293	GD_01293
293	GDsnp01298	GD_01298
294	GDsnp01299	GD_01299
295	GDsnp01304	GD_01304
296	GDsnp01305	GD_01305
297	GDsnp01309	GD_01309
298	GDsnp01316	GD_01316
299	GDsnp01319	GD_01319
300	GDsnp01322	GD_01322
301	GDsnp01328	GD_01328
302	GDsnp01329	GD_01329
303	GDsnp01334	GD_01334
304	GDsnp01349	GD_01349
305	GDsnp01357	GD_01357
306	GDsnp01361	GD_01361
307	GDsnp01366	GD_01366
308	GDsnp01371	GD_01371
309	GDsnp01391	GD_01391
310	GDsnp01392	GD_01392
311	GDsnp01401	GD_01401
312	GDsnp01420	GD_01420
313	GDsnp01426	GD_01426
314	GDsnp01433	GD_01433
315	GDsnp01438	GD_01438
316	GDsnp01444	GD_01444
317	GDsnp01476	GD_01476
318	GDsnp01478	GD_01478
319	GDsnp01479	GD_01479
320	GDsnp01481	GD_01481
321	GDsnp01483	GD_01483
322	GDsnp01484	GD_01484
323	GDsnp01487	GD_01487
324	GDsnp01488	GD_01488
325	GDsnp01493	GD_01493
326	GDsnp01500	GD_01500
327	GDsnp01501	GD_01501
328	GDsnp01502	GD_01502
329	GDsnp01507	GD_01507
330	GDsnp01516	GD_01516
331	GDsnp01518	GD_01518
332	GDsnp01524	GD_01524
333	GDsnp01525	GD_01525
334	GDsnp01531	GD_01531
335	GDsnp01539	GD_01539
336	GDsnp01542	GD_01542
337	GDsnp01548	GD_01548
338	GDsnp01552	GD_01552
339	GDsnp01555	GD_01555
340	GDsnp01556	GD_01556
341	GDsnp01558	GD_01558
342	GDsnp01565	GD_01565
343	GDsnp01566	GD_01566
344	GDsnp01570	GD_01570
345	GDsnp01573	GD_01573
346	GDsnp01574	GD_01574
347	GDsnp01575	GD_01575
348	GDsnp01576	GD_01576
349	GDsnp01579	GD_01579
350	GDsnp01584	GD_01584
351	GDsnp01587	GD_01587
352	GDsnp01588	GD_01588
353	GDsnp01597	GD_01597
354	GDsnp01601	GD_01601
355	GDsnp01604	GD_01604
356	GDsnp01612	GD_01612
357	GDsnp01614	GD_01614
358	GDsnp01615	GD_01615
359	GDsnp01616	GD_01616
360	GDsnp01623	GD_01623
361	GDsnp01624	GD_01624
362	GDsnp01627	GD_01627
363	GDsnp01632	GD_01632
364	GDsnp01639	GD_01639
365	GDsnp01641	GD_01641
366	GDsnp01642	GD_01642
367	GDsnp01647	GD_01647
368	GDsnp01648	GD_01648
369	GDsnp01650	GD_01650
370	GDsnp01651	GD_01651
371	GDsnp01681	GD_01681
372	GDsnp01682	GD_01682
373	GDsnp01690	GD_01690
374	GDsnp01693	GD_01693
375	GDsnp01694	GD_01694
376	GDsnp01697	GD_01697
377	GDsnp01703	GD_01703
378	GDsnp01704	GD_01704
379	GDsnp01705	GD_01705
380	GDsnp01706	GD_01706
381	GDsnp01713	GD_01713
382	GDsnp01715	GD_01715
383	GDsnp01717	GD_01717
384	GDsnp01728	GD_01728
385	GDsnp01730	GD_01730
386	GDsnp01734	GD_01734
387	GDsnp01742	GD_01742
388	GDsnp01747	GD_01747
389	GDsnp01751	GD_01751
390	GDsnp01755	GD_01755
391	GDsnp01761	GD_01761
392	GDsnp01764	GD_01764
393	GDsnp01767	GD_01767
394	GDsnp01768	GD_01768
395	GDsnp01769	GD_01769
396	GDsnp01773	GD_01773
397	GDsnp01776	GD_01776
398	GDsnp01777	GD_01777
399	GDsnp01778	GD_01778
400	GDsnp01779	GD_01779
401	GDsnp01780	GD_01780
402	GDsnp01781	GD_01781
403	GDsnp01783	GD_01783
404	GDsnp01786	GD_01786
405	GDsnp01788	GD_01788
406	GDsnp01789	GD_01789
407	GDsnp01793	GD_01793
408	GDsnp01797	GD_01797
409	GDsnp01798	GD_01798
410	GDsnp01800	GD_01800
411	GDsnp01805	GD_01805
412	GDsnp01810	GD_01810
413	GDsnp01811	GD_01811
414	GDsnp01813	GD_01813
415	GDsnp01814	GD_01814
416	GDsnp01815	GD_01815
417	GDsnp01822	GD_01822
418	GDsnp01827	GD_01827
419	GDsnp01831	GD_01831
420	GDsnp01832	GD_01832
421	GDsnp01844	GD_01844
422	GDsnp01846	GD_01846
423	GDsnp01850	GD_01850
424	GDsnp01853	GD_01853
425	GDsnp01855	GD_01855
426	GDsnp01858	GD_01858
427	GDsnp01859	GD_01859
428	GDsnp01866	GD_01866
429	GDsnp01867	GD_01867
430	GDsnp01872	GD_01872
431	GDsnp01874	GD_01874
432	GDsnp01878	GD_01878
433	GDsnp01882	GD_01882
434	GDsnp01885	GD_01885
435	GDsnp01886	GD_01886
436	GDsnp01888	GD_01888
437	GDsnp01889	GD_01889
438	GDsnp01896	GD_01896
439	GDsnp01899	GD_01899
440	GDsnp01902	GD_01902
441	GDsnp01905	GD_01905
442	GDsnp01907	GD_01907
443	GDsnp01908	GD_01908
444	GDsnp01909	GD_01909
445	GDsnp01919	GD_01919
446	GDsnp01935	GD_01935
447	GDsnp01937	GD_01937
448	GDsnp01942	GD_01942
449	GDsnp01946	GD_01946
450	GDsnp01951	GD_01951
451	GDsnp01954	GD_01954
452	GDsnp01956	GD_01956
453	GDsnp01957	GD_01957
454	GDsnp01958	GD_01958
455	GDsnp01961	GD_01961
456	GDsnp01964	GD_01964
457	GDsnp01965	GD_01965
458	GDsnp01969	GD_01969
459	GDsnp01974	GD_01974
460	GDsnp01987	GD_01987
461	GDsnp01989	GD_01989
462	GDsnp01997	GD_01997
463	GDsnp02003	GD_02003
464	GDsnp02008	GD_02008
465	GDsnp02009	GD_02009
466	GDsnp02018	GD_02018
467	GDsnp02020	GD_02020
468	GDsnp02021	GD_02021
469	GDsnp02030	GD_02030
470	GDsnp02031	GD_02031
471	GDsnp02039	GD_02039
472	GDsnp02046	GD_02046
473	GDsnp02051	GD_02051
474	GDsnp02053	GD_02053
475	GDsnp02059	GD_02059
476	GDsnp02063	GD_02063
477	GDsnp02076	GD_02076
478	GDsnp02079	GD_02079
479	GDsnp02080	GD_02080
480	GDsnp02087	GD_02087
481	GDsnp02092	GD_02092
482	GDsnp02100	GD_02100
483	GDsnp02115	GD_02115
484	GDsnp02124	GD_02124
485	GDsnp02130	GD_02130
486	GDsnp02134	GD_02134
487	GDsnp02138	GD_02138
488	GDsnp02143	GD_02143
489	GDsnp02155	GD_02155
490	GDsnp02165	GD_02165
491	GDsnp02169	GD_02169
492	GDsnp02172	GD_02172
493	GDsnp02183	GD_02183
494	GDsnp02194	GD_02194
495	GDsnp02207	GD_02207
496	GDsnp02212	GD_02212
497	GDsnp02219	GD_02219
498	GDsnp02220	GD_02220
499	GDsnp02223	GD_02223
500	GDsnp02228	GD_02228
501	GDsnp02230	GD_02230
502	GDsnp02251	GD_02251
503	GDsnp02258	GD_02258
504	GDsnp02263	GD_02263
505	GDsnp02275	GD_02275
506	GDsnp02277	GD_02277
507	GDsnp02291	GD_02291
508	GDsnp02293	GD_02293
509	GDsnp02300	GD_02300
510	GDsnp02302	GD_02302
511	GDsnp02313	GD_02313
512	GDsnp02333	GD_02333
513	GDsnp02334	GD_02334
514	GDsnp02336	GD_02336
515	GDsnp02363	GD_02363
516	GDsnp02371	GD_02371
517	GDsnp02376	GD_02376
518	GDsnp02426	GD_02426
519	GDsnp02428	GD_02428
520	GDsnp02437	GD_02437
521	GDsnp02451	GD_02451
522	GDsnp02452	GD_02452
523	GDsnp02457	GD_02457
524	GDsnp02460	GD_02460
525	GDsnp02463	GD_02463
526	GDsnp02465	GD_02465
527	GDsnp02482	GD_02482
528	GDsnp02512	GD_02512
529	GDsnp02518	GD_02518
530	GDsnp02535	GD_02535
531	GDsnp02538	GD_02538
532	GDsnp02546	GD_02546
533	GDsnp02572	GD_02572
534	GDsnp02575	GD_02575
535	GDsnp02576	GD_02576
536	GDsnp02580	GD_02580
537	GDsnp02592	GD_02592
538	GDsnp02600	GD_02600
539	GDsnp02619	GD_02619
540	GDsnp02626	GD_02626
541	GDsnp02638	GD_02638
542	GDsnp02644	GD_02644
543	GDsnp02657	GD_02657
544	GDsnp02664	GD_02664
545	GDsnp02673	GD_02673
546	GDsnp02674	GD_02674
547	GDsnp02678	GD_02678
548	GDsnp02685	GD_02685
549	GDsnp02689	GD_02689
550	GDsnp02729	GD_02729
551	GDsnp02731	GD_02731
552	GDsnp02763	GD_02763
553	GDsnp02779	GD_02779
554	GDsnp02783	GD_02783
555	GDsnp02804	GD_02804
556	GDsnp02809	GD_02809
557	GDsnp02814	GD_02814
558	GDsnp02819	GD_02819
559	GDsnp02834	GD_02834
560	GDsnp02838	GD_02838
561	GDsnp02840	GD_02840
562	GDsnp02844	GD_02844
563	GDsnp02848	GD_02848
564	GDsnp02853	GD_02853
565	GDsnp02859	GD_02859
566	GDsnp02875	GD_02875
567	GDsnp02890	GD_02890
568	GDsnp10007	GD_10007
569	GDsnp10010	GD_10010
570	MdBFTb	MdBFTb
571	MdCCD7a	MdCCD7a
572	MdFT1	MdFT1
573	MdFT2	MdFT2
574	MdGA3ox-like	MdGA3ox-like
575	MdMFTb	MdMFTb
576	MDP0000156763	MDP0000156763
577	MDP0000168778	MDP0000168778
578	MDP000017222_N	MDP000017222_N
579	MDP0000172222_H	MDP0000172222_H
580	MDP0000172222_M	MDP0000172222_M
581	MDP0000194772	MDP0000194772
582	MDP0000217438	MDP0000217438
583	MDP0000236168	MDP0000236168
584	MDP0000271782	MDP0000271782
585	MDP0000288088_J	MDP0000288088_J
586	MDP0000303103	MDP0000303103
587	MDP0000311865	MDP0000311865
588	MDP0000394192	MDP0000394192
589	MDP0000951479_11-14	MDP0000951479_11-14
590	MDP000320539_3-14	MDP000320539_3-14
591	MdPI	MdPI
592	MdSOC1-like	MdSOC1-like
593	MdTIR	MdTIR
594	MR_7_M771	MR_7_M771
595	MR_7_R214	MR_7_R214
596	MR_EH034548_K35	MR_EH034548_K35
597	MR_EH034548_R235	MR_EH034548_R235
598	MR_rp16k15_M80	MR_rp16k15_M80
599	RosBREED_SNP_AC_2593090_Lg16	RB_2593090_
600	RosBREED_SNP_AC_3334689_Lg16	RB_3334689_
601	RosBREED_SNP_AC_39662008_Lg13	RB_39662008
602	RosBREED_SNP_AG_3942532_Lg4	RB_3942532_
603	RosBREED_SNP_AG_49031915_Lg15	RB_49031915
604	RosBREED_SNP_CT_2745724_Lg16	RB_2745724_
605	RosBREED_SNP_CT_30187_Lg11	RB_30187_Lg
606	RosBREED_SNP_GA_27113611_Lg17	RB_27113611
607	RosBREED_SNP_GA_31135974_Lg7	RB_31135974
608	RosBREED_SNP_GT_14945861_Lg5	RB_14945861
609	RosBREED_SNP_GT_21216802_Lg9	RB_21216802
610	RosBREED_SNP_GT_22408468_Lg10	RB_22408468
611	RosBREED_SNP_GT_248882_Lg16	RB_248882_L
612	RosBREED_SNP_TC_2419416_Lg16	RB_2419416_
613	RosBREED_SNP_TC_30595771_Lg10	RB_30595771
614	RosBREED_SNP_TC_32129472_Lg3	RB_32129472
615	RosBREED_SNP_TC_3297840_Lg16	RB_3297840_
616	RosBREED_SNP_TC_3303558_Lg16	RB_3303558_
617	RosBREED_SNP_TC_7275449_Lg12	RB_7275449_
618	RosBREED_SNP_TG_14005103_Lg17	RB_14005103
619	RosBREED_SNP_TG_15738487_Lg11	RB_15738487
620	RosBREED_SNP_TG_23405001_Lg16	RB_23405001
621	RosBREED_SNP_TG_3193686_Lg16	RB_3193686_
622	RosBREEDSNP_SNP_AC_10296435_Lg5_01651_MAF40_436577_exon1	RB_10296435
623	RosBREEDSNP_SNP_AC_10506816_Lg3_00194_MAF30_MDP0000322025_exon1	RB_10506816
624	RosBREEDSNP_SNP_AC_1065683_Lg15_01009_MAF20_MDP0000225641_exon2	RB_1065683_
625	RosBREEDSNP_SNP_AC_10764579_Lg4_01886_MAF20_680053_exon1	RB_10764579
626	RosBREEDSNP_SNP_AC_10935478_Lg17_00918_MAF40_MDP0000500222_exon1	RB_10935478
627	RosBREEDSNP_SNP_AC_11050637_Lg7_01882_MAF50_55306_exon1	RB_11050637
628	RosBREEDSNP_SNP_AC_11070621_Lg15_02869_MAF40_7599_exon1	RB_11070621
629	RosBREEDSNP_SNP_AC_11489706_Lg1_01815_MAF40_873112_exon1	RB_11489706
630	RosBREEDSNP_SNP_AC_1193551_Lg12_RosCOS3293_MAF50_756728_exon3	RB_1193551_
631	RosBREEDSNP_SNP_AC_11992593_Lg10_CXE1_MAF40_661200_exon1	RB_11992593
632	RosBREEDSNP_SNP_AC_11996518_Lg2_RosCOS2709_MAF30_1663531_exon1	RB_11996518
633	RosBREEDSNP_SNP_AC_12016362_Lg5_01319_MAF30_MDP0000224750_exon1	RB_12016362
634	RosBREEDSNP_SNP_AC_12048247_Lg10_RosCOS2353_MAF20_1651936_exon1	RB_12048247
635	RosBREEDSNP_SNP_AC_12134921_Lg13_RosCOS3331_MAF30_1659282_exon3	RB_12134921
636	RosBREEDSNP_SNP_AC_121548_Lg1_00288_MAF30_MDP0000151845_exon1	RB_121548_L
637	RosBREEDSNP_SNP_AC_12296545_Lg4_01353_MAF40_1651204_exon1	RB_12296545
638	RosBREEDSNP_SNP_AC_12441299_Lg10_00176_MAF40_MDP0000196406_exon4	RB_12441299
639	RosBREEDSNP_SNP_AC_12582508_Lg14_00170_MAF40_248387_exon1	RB_12582508
640	RosBREEDSNP_SNP_AC_12845175_Lg9_00331_MAF20_267702_exon2	RB_12845175
641	RosBREEDSNP_SNP_AC_12931783_Lg8_01132_MAF30_1669512_exon1	RB_12931783
642	RosBREEDSNP_SNP_AC_1301926_Lg16_01600_MAF50_1683802_exon2	RB_1301926_
643	RosBREEDSNP_SNP_AC_13312189_Lg4_RosCOS3641_MAF20_110683_exon1	RB_13312189
644	RosBREEDSNP_SNP_AC_14008824_Lg17_02572_MAF30_MDP0000225528_exon4	RB_14008824
645	RosBREEDSNP_SNP_AC_14354679_Lg5_02834_MAF20_MDP0000493284_exon3	RB_14354679
646	RosBREEDSNP_SNP_AC_14440697_Lg13_01776_MAF20_1680494_exon1	RB_14440697
647	RosBREEDSNP_SNP_AC_1452699_Lg16_MDP0000303483_MAF50_MDP0000303483_exon2	RB_1452699_
648	RosBREEDSNP_SNP_AC_14645161_Lg16_00356_MAF20_530471_exon1	RB_14645161
649	RosBREEDSNP_SNP_AC_14674789_Lg5_MDP0000553609_MAF50_MDP0000553609_exon3	RB_14674789
650	RosBREEDSNP_SNP_AC_14684226_Lg10_01267_MAF10_2640_exon1	RB_14684226
651	RosBREEDSNP_SNP_AC_14769213_Lg10_254375_MAF20_254375_exon1	RB_14769213
652	RosBREEDSNP_SNP_AC_15006641_Lg8_152401__152401_exon1	RB_15006641
653	RosBREEDSNP_SNP_AC_15249416_Lg8_00354_MAF30_MDP0000136517_exon1	RB_15249416
654	RosBREEDSNP_SNP_AC_15527276_Lg16_01563_MAF10_MDP0000379791_exon1	RB_15527276
655	RosBREEDSNP_SNP_AC_16467823_Lg1_00107_MAF20_MDP0000182344_exon2	RB_16467823
656	RosBREEDSNP_SNP_AC_16718103_Lg10_01710_MAF50_20584_exon1	RB_16718103
657	RosBREEDSNP_SNP_AC_16865074_Lg6_02779_MAF50_1638635_exon8	RB_16865074
658	RosBREEDSNP_SNP_AC_16948009_Lg3_00921_MAF50_1682392_exon1	RB_16948009
659	RosBREEDSNP_SNP_AC_17559596_Lg10_01987_MAF20_1641644_exon2	RB_17559596
660	RosBREEDSNP_SNP_AC_17882923_Lg1_00440_MAF40_1646533_exon1	RB_17882923
661	RosBREEDSNP_SNP_AC_17894779_Lg10_02252_MAF50_1673029_exon1	RB_17894779
662	RosBREEDSNP_SNP_AC_180528_Lg1_00288_MAF40_302606_exon1	RB_180528_L
663	RosBREEDSNP_SNP_AC_18500686_Lg16_134900__134900_exon3	RB_18500686
664	RosBREEDSNP_SNP_AC_18695269_Lg1_00183_MAF20_MDP0000404072_exon1	RB_18695269
665	RosBREEDSNP_SNP_AC_18789801_Lg4_00324_MAF10_MDP0000263111_exon4	RB_18789801
666	RosBREEDSNP_SNP_AC_19520932_Lg4_00881_MAF40_47160_exon1	RB_19520932
667	RosBREEDSNP_SNP_AC_19805064_Lg13_01334_MAF50_356181_exon1	RB_19805064
668	RosBREEDSNP_SNP_AC_20010409_Lg17_01298_MAF10_1664099_exon1	RB_20010409
669	RosBREEDSNP_SNP_AC_2034824_Lg17_00290_MAF50_95622_exon1	RB_2034824_
670	RosBREEDSNP_SNP_AC_20353369_Lg13_02063_MAF50_160796_exon1	RB_20353369
671	RosBREEDSNP_SNP_AC_20356064_Lg13_02063_MAF20_250827_exon1	RB_20356064
672	RosBREEDSNP_SNP_AC_2052479_Lg9_01573_MAF10_516777_exon1	RB_2052479_
673	RosBREEDSNP_SNP_AC_20564976_Lg9_02451_MAF30_MDP0000266844_exon5	RB_20564976
674	RosBREEDSNP_SNP_AC_21088744_Lg6_155895_MAF20_155895_exon1	RB_21088744
675	RosBREEDSNP_SNP_AC_21367438_Lg5_RosCOS644_MAF10_1651746_exon1	RB_21367438
676	RosBREEDSNP_SNP_AC_21581037_Lg8_02685_MAF30_MDP0000202383_exon1	RB_21581037
677	RosBREEDSNP_SNP_AC_22376133_Lg9_MDP0000313059_MAF10_MDP0000313059_exon10	RB_22376133
678	RosBREEDSNP_SNP_AC_22410872_Lg14_CH03g04_MAF30_479834_exon2	RB_22410872
679	RosBREEDSNP_SNP_AC_23224503_Lg8_00975_MAF10_767505_exon1	RB_23224503
680	RosBREEDSNP_SNP_AC_23309867_Lg3_00663_MAF20_1664865_exon3	RB_23309867
681	RosBREEDSNP_SNP_AC_23421514_Lg4_01567_MAF50_MDP0000171280_exon1	RB_23421514
682	RosBREEDSNP_SNP_AC_23867559_Lg4_00681_MAF40_528703_exon1	RB_23867559
683	RosBREEDSNP_SNP_AC_24054772_Lg14_01531_MAF30_255324_exon1	RB_24054772
684	RosBREEDSNP_SNP_AC_2415744_Lg17_MDP0000291802_MAF40_MDP0000291802_exon8	RB_2415744_
685	RosBREEDSNP_SNP_AC_24577383_Lg17_02678_MAF10_179861_exon2	RB_24577383
686	RosBREEDSNP_SNP_AC_24586716_Lg11_02407_MAF10_1652306_exon3	RB_24586716
